Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,700.00,710.57,696.00,707.38,1997400,707.38
2012-12-28,701.69,706.91,700.01,700.01,1402000,700.01
2012-12-27,707.14,708.84,698.61,706.29,1647400,706.29
2012-12-26,708.07,712.88,702.41,708.87,1182400,708.87
2012-12-24,714.51,715.18,707.47,709.50,840900,709.50
2012-12-21,713.97,718.82,710.52,715.63,3526000,715.63
2012-12-20,723.26,724.65,716.97,722.36,1657000,722.36
2012-12-19,720.71,723.00,716.68,720.11,1918600,720.11
2012-12-18,716.60,729.10,715.05,721.07,3004900,721.07
2012-12-17,705.50,721.92,704.02,720.78,3035400,720.78
2012-12-14,699.17,707.82,698.43,701.96,2130100,701.96
2012-12-13,715.92,716.47,699.55,702.70,3444900,702.70
2012-12-12,699.23,703.51,693.48,697.56,2426000,697.56
2012-12-11,690.00,701.92,687.72,696.88,2687600,696.88
2012-12-10,685.39,691.65,683.79,685.42,1366700,685.42
2012-12-07,695.00,696.88,682.42,684.21,1919300,684.21
2012-12-06,687.59,695.61,684.51,691.13,1462300,691.13
2012-12-05,692.15,694.50,682.33,687.82,1862400,687.82
2012-12-04,695.00,695.51,685.70,691.03,1991700,691.03
2012-12-03,702.24,705.89,694.11,695.25,2192500,695.25
2012-11-30,691.31,699.22,685.69,698.37,3163600,698.37
2012-11-29,687.78,693.90,682.00,691.89,2776500,691.89
2012-11-28,668.01,684.91,663.89,683.67,3042000,683.67
2012-11-27,660.17,675.00,658.00,670.71,2508700,670.71
2012-11-26,666.44,667.00,659.02,661.15,2204600,661.15
2012-11-23,669.97,670.00,666.10,667.97,922500,667.97
2012-11-21,668.99,669.80,660.40,665.87,2112200,665.87
2012-11-20,669.51,678.00,664.57,669.97,2088700,669.97
2012-11-19,655.70,668.92,655.53,668.21,2368200,668.21
2012-11-16,645.99,653.02,636.00,647.18,3438200,647.18
2012-11-15,650.00,660.00,643.90,647.26,1848900,647.26
2012-11-14,660.66,662.18,650.50,652.55,1668400,652.55
2012-11-13,663.00,667.60,658.23,659.05,1594200,659.05
2012-11-12,663.75,669.80,660.87,665.90,1405900,665.90
2012-11-09,654.65,668.34,650.30,663.03,3114100,663.03
2012-11-08,670.20,671.49,651.23,652.29,2597000,652.29
2012-11-07,675.00,678.23,666.49,667.12,2232300,667.12
2012-11-06,685.48,686.50,677.55,681.72,1582800,681.72
2012-11-05,684.50,686.86,675.56,682.96,1635900,682.96
2012-11-02,694.79,695.55,687.37,687.92,2324400,687.92
2012-11-01,679.50,690.90,678.72,687.59,2050100,687.59
2012-10-31,679.86,681.00,675.00,680.30,1537000,680.30
2012-10-26,676.50,683.03,671.20,675.15,1950800,675.15
2012-10-25,680.00,682.00,673.51,677.76,2401100,677.76
2012-10-24,686.80,687.00,675.27,677.30,2496500,677.30
2012-10-23,672.01,687.33,672.00,680.35,2916600,680.35
2012-10-22,681.01,684.63,669.70,678.67,4055600,678.67
2012-10-19,705.58,706.70,672.00,681.79,11482200,681.79
2012-10-18,755.54,759.42,676.00,695.00,12442400,695.00
2012-10-17,743.95,756.34,740.26,755.49,2292900,755.49
2012-10-16,740.13,746.99,736.46,744.70,2058200,744.70
2012-10-15,741.94,743.83,730.70,740.98,3019100,740.98
2012-10-12,751.85,754.87,744.10,744.75,2404200,744.75
2012-10-11,752.90,758.50,750.29,751.48,2383900,751.48
2012-10-10,741.86,747.53,738.29,744.56,2039900,744.56
2012-10-09,759.67,761.32,742.53,744.09,3003200,744.09
2012-10-08,761.00,763.58,754.15,757.84,1958600,757.84
2012-10-05,770.71,774.38,765.01,767.65,2735900,767.65
2012-10-04,762.75,769.89,759.40,768.05,2454200,768.05
2012-10-03,755.72,763.92,752.20,762.50,2208300,762.50
2012-10-02,765.20,765.99,750.27,756.99,2790200,756.99
2012-10-01,759.05,765.00,756.21,761.78,3168000,761.78
2012-09-28,754.15,759.30,751.15,754.50,2783500,754.50
2012-09-27,759.95,762.84,751.65,756.50,3931100,756.50
2012-09-26,749.85,761.24,741.00,753.46,5672900,753.46
2012-09-25,753.05,764.89,747.66,749.16,6058500,749.16
2012-09-24,731.00,750.04,730.25,749.38,3563800,749.38
2012-09-21,732.21,734.92,730.12,733.99,6359100,733.99
2012-09-20,724.47,731.38,721.22,728.12,2907400,728.12
2012-09-19,717.50,728.56,716.41,727.50,3098300,727.50
2012-09-18,707.78,718.66,706.78,718.28,2066800,718.28
2012-09-17,708.11,712.88,705.00,709.98,1508300,709.98
2012-09-14,709.60,713.00,707.01,709.68,2618500,709.68
2012-09-13,693.09,709.00,690.54,706.04,2659000,706.04
2012-09-12,689.41,694.91,680.88,690.88,2642300,690.88
2012-09-11,697.96,700.65,691.00,692.19,1873800,692.19
2012-09-10,709.76,712.81,698.39,700.77,2560000,700.77
2012-09-07,700.00,712.25,697.67,706.15,3233000,706.15
2012-09-06,685.96,699.89,684.73,699.40,3043500,699.40
2012-09-05,680.00,686.50,679.14,680.72,1708200,680.72
2012-09-04,684.55,685.00,673.50,681.04,1889600,681.04
2012-08-31,684.00,688.58,680.04,685.09,2127100,685.09
2012-08-30,684.24,687.39,680.18,681.68,1626900,681.68
2012-08-29,677.37,688.99,676.15,688.01,2990300,688.01
2012-08-28,665.00,677.62,664.74,677.25,2058600,677.25
2012-08-27,662.99,672.00,659.24,669.22,2613700,669.22
2012-08-24,675.60,680.45,674.08,678.63,1426600,678.63
2012-08-23,674.27,680.48,671.00,676.80,1784200,676.80
2012-08-22,667.38,680.60,666.70,677.18,1909200,677.18
2012-08-21,673.11,678.00,662.17,669.51,2222200,669.51
2012-08-20,675.50,678.87,672.66,675.54,1758100,675.54
2012-08-17,674.12,677.25,671.70,677.14,2177700,677.14
2012-08-16,667.51,674.64,667.08,672.87,1717700,672.87
2012-08-15,670.28,674.25,664.10,667.54,2410700,667.54
